// id,nome,tipo,custo,edicao,raridade,complemento,imagem,xImagem,yImagem,descricao
//Tipo: 0 - personagem,1-Monstro,2-Item,3-Habilidade,4-Efeito
1,0,1,0,0,0,1,poring001,-50,-40,1
2,1,1,3,0,0,2,mandragora001,0,160,1
3,2,1,1,0,0,3,poringNoel001,-15,70,1
4,3,1,1,0,0,4,drops001,-30,-40,1
5,4,1,2,0,0,5,poporing001,-80,-60,1
6,5,1,3,0,1,6,marin001,-90,-80,1
7,6,1,4,0,1,7,stapo001,-45,-65,1
8,7,1,5,0,0,8,metaling001,0,-95,1
9,8,1,6,0,1,9,magmaring001,-50,-55,1
10,9,1,3,0,2,10,mastering001,-40,60,1
11,10,1,4,0,2,11,ghostring001,-40,70,1
12,11,1,5,0,2,12,angeling001,-80,-110,1
13,12,1,5,0,2,13,deviling001,-35,-10,1
14,13,1,7,0,2,14,archangeling001,0,120,1
15,14,1,1,0,0,15,esporos001,0,0,1
16,15,1,2,0,0,16,esqueleto001,0,170,1
17,16,1,3,0,0,17,hidra001,0,0,1
18,17,1,4,0,0,18,esqueletoArqueiro001,0,170,1
19,18,1,5,0,1,19,bafomeJr001,-50,0,1
20,19,1,6,0,0,20,harpia001,0,0,1
21,20,1,6,0,1,21,noveCaudas001,0,10,1
22,21,1,7,0,0,22,raydric001,0,0,1
23,22,1,7,0,2,23,alice001,0,0,1
24,23,1,8,0,1,24,deviruchi001,0,0,1


